JB76,19,63,19,63,19,63,19,63
JB77,19,63,19,63,19,63,19,63
JB78,19,63,19,63,19,63,19,63
JB79,64,20,64,20,64,20,64,20
JB80,64,20,64,20,64,20,64,20
JB81,20,64,20,64,20,64,20,64
JB82,20,64,20,64,20,64,20,64
LJ01,55,21,55,21,55,21,55,21
LJ02,21,55,21,55,21,55,21,55
LJ03,65,65,65,65,65,65,65,65
LJ04,23,55,23,55,23,55,23,55
LB01,66,24,24,66,24,24,66,24
LB02,66,24,24,66,24,24,66,24
LB03,66,24,24,66,24,24,66,24
LB04,24,66,24,24,66,24,24,66
LB05,24,66,24,24,66,24,24,66
LB06,24,66,24,24,66,24,24,66
LB07,66,24,66,24,66,24,66,24
LB08,66,24,66,24,66,24,66,24
LB09,66,24,66,24,66,24,66,24
LB10,66,24,66,24,66,24,66,24
LB11,67,25,25,67,25,25,67,25
LB12,67,25,25,67,25,25,67,25
LB13,67,25,25,67,25,25,67,25
LB14,25,67,25,25,67,25,25,67
LB15,25,67,25,25,67,25,25,67
LB16,25,67,25,25,67,25,25,67
LB17,25,25,67,25,25,67,25,25
LB18,25,25,67,25,25,67,25,25
LB19,25,25,67,25,25,67,25,25
LB20,25,25,67,25,25,67,25,25
HJ01,55,55,55,55,55,55,55,55
HJ02,68,68,68,68,68,68,68,68
HB01,51,27,27,51,27,27,51,27
HB02,27,51,27,27,51,27,27,51
HB03,27,27,51,27,27,51,27,27
HB04,69,27,69,27,69,27,69,27
HB05,69,27,69,27,69,27,69,27
HB06,70,27,27,70,27,27,70,27
HB07,27,70,27,27,70,27,27,70
HB08,27,27,70,27,27,70,27,27
HB09,28,69,28,69,28,69,28,69
HB10,28,69,28,69,28,69,28,69
GJ01,55,29,55,29,55,29,55,29
GJ02,29,55,29,55,29,55,29,55
GB01,51,28,51,28,51,28,51,28
GB02,28,51,28,51,28,51,28,51
GB03,71,71,71,71,71,71,71,71
GB04,72,72,72,72,72,72,72,72
GB05,73,73,73,73,73,73,73,73
GB06,74,74,74,74,74,74,74,74
GB07,75,20,75,20,75,20,75,20
GB08,20,75,20,75,20,75,20,75
GB09,76,20,76,20,76,20,76,20
GB10,20,76,20,76,20,76,20,76
ZJ01,55,21,21,55,21,21,55,21
ZJ02,21,55,21,21,55,21,21,55
